CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score_(1-100),Gender_encoded,Cluster
1,Male,19,15,39,0,0
2,Male,21,15,81,0,0
3,Female,20,16,6,1,1
4,Female,23,16,77,1,0
5,Female,31,17,40,1,1
6,Female,22,17,76,1,0
7,Female,35,18,6,1,1
8,Female,23,18,94,1,0
9,Male,64,19,3,0,2
10,Female,30,19,72,1,0
11,Male,67,19,14,0,2
12,Female,35,19,99,1,0
13,Female,58,20,15,1,1
14,Female,24,20,77,1,0
15,Male,37,20,13,0,2
16,Male,22,20,79,0,0
17,Female,35,21,35,1,1
18,Male,20,21,66,0,0
19,Male,52,23,29,0,2
20,Female,35,23,98,1,0
21,Male,35,24,35,0,2
22,Male,25,24,73,0,0
23,Female,46,25,5,1,1
24,Male,31,25,73,0,0
25,Female,54,28,14,1,1
26,Male,29,28,82,0,0
27,Female,45,28,32,1,1
28,Male,35,28,61,0,0
29,Female,40,29,31,1,1
30,Female,23,29,87,1,0
31,Male,60,30,4,0,2
32,Female,21,30,73,1,0
33,Male,53,33,4,0,2
34,Male,18,33,92,0,0
35,Female,49,33,14,1,1
36,Female,21,33,81,1,0
37,Female,42,34,17,1,1
38,Female,30,34,73,1,0
39,Female,36,37,26,1,1
40,Female,20,37,75,1,0
41,Female,65,38,35,1,1
42,Male,24,38,92,0,0
43,Male,48,39,36,0,2
44,Female,31,39,61,1,0
45,Female,49,39,28,1,1
46,Female,24,39,65,1,0
47,Female,50,40,55,1,1
48,Female,27,40,47,1,1
49,Female,29,40,42,1,1
50,Female,31,40,42,1,1
51,Female,49,42,52,1,1
52,Male,33,42,60,0,0
53,Female,31,43,54,1,1
54,Male,59,43,60,0,2
55,Female,50,43,45,1,1
56,Male,47,43,41,0,2
57,Female,51,44,50,1,1
58,Male,69,44,46,0,2
59,Female,27,46,51,1,0
60,Male,53,46,46,0,2
61,Male,70,46,56,0,2
62,Male,19,46,55,0,0
63,Female,67,47,52,1,1
64,Female,54,47,59,1,1
65,Male,63,48,51,0,2
66,Male,18,48,59,0,0
